Unnamed: 0,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,Number of Sworn Officers,Number Wearing Body Cameras,Coverage,Fairness,Section of Provision,Policy Language/ Explanation,Transparency,Section of Provision(s),Policy Language/ Explanation.1,Privacy,Section of Provision.1,Policy Language/ Explanation.2,Accountability,Section of Provision.2,Policy Language/ Explanation.3
,shot,gun,31.0,M,H,Phoenix,AZ,False,attack,Car,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,sword,25.0,M,W,Phoenix,AZ,True,attack,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,gun,32.0,M,H,Phoenix,AZ,False,other,Other,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,,26.0,M,W,Phoenix,AZ,False,other,Car,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot and Tasered,knife,31.0,M,,Phoenix,AZ,False,other,Foot,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,unarmed,38.0,M,B,Phoenix,AZ,False,other,Foot,True,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,toy weapon,27.0,M,H,Phoenix,AZ,False,attack,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,,25.0,M,W,Phoenix,AZ,False,other,Car,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,knife,24.0,M,H,Phoenix,AZ,False,attack,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,gun,27.0,F,B,Phoenix,AZ,False,other,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,,34.0,M,H,Phoenix,AZ,False,attack,Car,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,gun,47.0,M,W,Phoenix,AZ,False,attack,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,gun,35.0,M,W,Phoenix,AZ,False,attack,Other,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,knife,28.0,M,H,Phoenix,AZ,True,other,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,knife,43.0,M,B,Phoenix,AZ,False,attack,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,gun,23.0,M,,Phoenix,AZ,False,attack,Foot,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,knife,25.0,M,,Phoenix,AZ,False,other,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,knife,22.0,M,H,Phoenix,AZ,False,other,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,gun,39.0,M,B,Phoenix,AZ,False,attack,Car,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,gun,27.0,M,W,Phoenix,AZ,False,other,Foot,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot,gun,27.0,M,H,Phoenix,AZ,False,attack,Foot,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
,shot and Tasered,knife,23.0,M,W,Phoenix,AZ,False,attack,Not fleeing,False,2979,150,5%,No,B.6,"""User officers/supervisors can view captured video utilizing provided software once the data has been downloaded from the camera. This will allow for user officers and supervisors to refresh their memories prior to the completion of departmental reports or
while preparing for court proceedings.""
""In the event of a serious incident, (i.e. officer involved shooting, serious injury or death, serious use of force incident, serious police equipment accident, etc.), user officers/supervisors will refrain from viewing the recorded data until the detail responsible for the investigation arrives on scene and it can be done in conjunction with current serious incident protocols that are in place.""",Yes,"Not specified in policy, but footage would be included under Arizona state public records law.","""The release of video/s requested through a public records request will be handled in
accordance with existing policy and public records laws. See Operations Order 4.6, Release of Records, for additional information."" 
Footage will be released with standard redactions, including victim's identifying information, as well as ""information that by its very nature is so gross, demeaning, biased, or sensitive that it would do irreparable harm to innocent persons or their character if released.""
Media reports indicate that body camera footage is considered public record under Arizona Law: http://www.govtech.com/public-safety/Body-Camera-Video-of-Arizona-Police-Officers-Killing-stirs-ethical-debate-.html",No,H,"""All media that is captured during the pilot program will be retained by the Phoenix Police Department for a minimum of one year following the date it is recorded. Captured video may be retained for longer periods in the event the video is the subject of a litigation hold, a criminal case, part of discovery, etc.""",No,Not specified in policy,No policy language
